City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,71.6,78,90,4.61,US,1615662009
1,grande prairie,55.1667,-118.8027,35.6,75,75,4.38,CA,1615662751
2,moose factory,51.2585,-80.6094,23.0,80,90,12.66,CA,1615662784
3,homer,59.6425,-151.5483,18.0,45,1,10.36,US,1615662785
4,ascension,30.2169,-90.9001,80.01,50,1,5.84,US,1615662785
5,whitehorse,60.7161,-135.0538,-0.99,65,90,9.22,CA,1615662760
6,saint george,37.1041,-113.5841,45.0,87,90,6.71,US,1615662786
7,smithers,54.7804,-127.1743,46.4,61,90,5.75,CA,1615662645
8,thompson,55.7435,-97.8558,19.4,53,20,16.11,CA,1615662787
9,alpena,45.0617,-83.4327,50.0,37,1,12.66,US,1615662788
10,fortuna,40.5982,-124.1573,55.0,76,40,4.61,US,1615662789
11,rawlins,41.7911,-107.2387,42.01,60,1,26.46,US,1615662790
12,key biscayne,25.6937,-80.1628,81.0,47,40,11.5,US,1615662552
13,sandpoint,48.2766,-116.5533,46.99,53,1,5.75,US,1615662791
14,kodiak,57.79,-152.4072,28.4,40,1,16.11,US,1615662792
15,celestun,20.8667,-90.4,82.96,53,0,10.45,MX,1615662793
16,south lake tahoe,38.9332,-119.9844,46.99,28,1,5.75,US,1615662738
17,flin flon,54.7682,-101.865,30.2,51,20,11.5,CA,1615662793
18,nacozari,25.3366,-108.2574,75.0,39,9,15.99,MX,1615662794
19,chilliwack,49.1747,-121.9443,52.0,50,100,4.61,CA,1615662794
20,juneau,58.3019,-134.4197,27.0,59,90,5.75,US,1615662744
21,sept-iles,50.2001,-66.3821,28.4,40,20,12.66,CA,1615662795
22,palmer,42.1584,-72.3287,44.01,22,20,19.57,US,1615662796
23,grenfell,-33.9,148.1667,66.27,70,100,2.93,AU,1615662796
24,paris,48.8534,2.3488,45.0,87,75,13.8,FR,1615662580
25,high prairie,55.4334,-116.4858,39.2,56,100,1.14,CA,1615662526
26,powell,40.1578,-83.0752,51.01,29,1,4.61,US,1615662797
27,cabo san lucas,22.8909,-109.9124,73.99,60,1,10.36,MX,1615662797
28,shellbrook,53.2168,-106.4011,37.4,60,40,5.75,CA,1615662797
29,sterling,39.0062,-77.4286,55.99,19,75,5.48,US,1615662798
30,los banos,14.1667,121.1833,78.8,78,40,1.14,PH,1615662798
31,ketchikan,55.3422,-131.6461,33.8,100,75,11.5,US,1615662799
32,altar,30.7,-111.8167,54.0,57,13,1.99,MX,1615662799
33,guerrero negro,27.9769,-114.0611,61.97,45,0,18.61,MX,1615662799
34,lompoc,34.6391,-120.4579,54.0,71,90,10.36,US,1615662090
35,elliot lake,46.3834,-82.6331,35.6,60,90,18.41,CA,1615662800
36,eureka,40.8021,-124.1637,55.0,63,26,3.0,US,1615662800
37,progreso,21.2833,-89.6667,89.6,37,75,9.22,MX,1615662801
38,constitucion,-35.3333,-72.4167,66.27,68,32,6.42,CL,1615662546
39,yellowknife,62.456,-114.3525,-2.99,64,75,6.91,CA,1615662802
40,half moon bay,37.4636,-122.4286,55.0,76,90,11.5,US,1615662802
41,newport,51.5877,-2.9984,45.0,77,0,1.01,GB,1615662682
