City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hilo,19.7297,-155.09,75.2,69,20,4.61,US,1615576979
sitka,57.0531,-135.33,32.0,74,40,6.91,US,1615577230
guymon,36.6828,-101.4816,42.8,93,90,11.5,US,1615577169
tullahoma,35.362,-86.2094,72.0,60,90,8.05,US,1615577497
galveston,29.3669,-94.9669,77.0,73,40,14.97,US,1615577625
huron,41.1501,-82.5499,55.99,32,22,5.01,US,1615577625
fairbanks,64.8378,-147.7164,-11.0,76,1,1.54,US,1615577468
kodiak,57.79,-152.4072,21.2,45,1,23.02,US,1615577610
cloquet,46.7216,-92.4594,30.99,36,1,9.22,US,1615577409
hamilton,39.1834,-84.5333,61.0,33,1,9.22,US,1615577528
fortuna,40.5982,-124.1573,54.0,81,1,10.36,US,1615577606
virginia beach,36.8529,-75.978,80.6,34,75,14.97,US,1615577125
eunice,30.4944,-92.4176,80.6,50,90,5.75,US,1615577314
rawlins,41.7911,-107.2387,30.99,74,90,6.91,US,1615577240
sand springs,36.1398,-96.1089,68.0,82,90,5.7,US,1615577627
pacific grove,36.6177,-121.9166,57.99,62,1,5.75,US,1615577160
merrill,45.1805,-89.6835,35.6,27,1,13.8,US,1615577272
palmer,42.1584,-72.3287,62.6,16,20,19.57,US,1615577263
lompoc,34.6391,-120.4579,55.99,62,75,5.75,US,1615577237
worland,44.0169,-107.9554,42.01,38,1,4.61,US,1615577628
ukiah,39.1502,-123.2078,61.0,44,1,4.0,US,1615577282
saint pete beach,27.7253,-82.7412,80.6,47,1,5.75,US,1615577629
tallahassee,30.4383,-84.2807,82.99,39,75,4.61,US,1615577361
yarmouth,41.7057,-70.2286,62.6,36,1,18.41,US,1615577315
north platte,41.1239,-100.7654,55.4,28,1,14.97,US,1615577287
half moon bay,37.4636,-122.4286,60.01,82,1,8.05,US,1615577235
ahuimanu,21.4447,-157.8378,77.0,78,40,5.75,US,1615577266
nantucket,41.2835,-70.0995,50.0,81,1,13.8,US,1615577241
rochester,43.1548,-77.6156,54.0,35,20,24.16,US,1615577472
johnstown,40.3267,-78.922,55.0,35,1,18.41,US,1615577632
washington,47.5001,-120.5015,50.0,38,87,2.95,US,1615577617
redmond,47.674,-122.1215,52.0,52,100,2.24,US,1615577195
lexington,37.9887,-84.4777,57.99,67,75,3.44,US,1615577340
venice,27.0998,-82.4543,82.99,73,40,11.5,US,1615577634
wilmington,34.2257,-77.9447,78.8,38,1,11.5,US,1615577384
clinton,42.587,-82.9199,55.4,30,20,21.85,US,1615577296
carlsbad,33.1581,-117.3506,57.99,62,1,9.22,US,1615577635
port hueneme,34.1478,-119.1951,59.0,58,1,10.36,US,1615577369
anderson,34.5334,-82.6499,78.01,41,1,14.97,US,1615577430
anchorage,61.2181,-149.9003,10.4,51,1,4.61,US,1615577079
brigantine,39.4101,-74.3646,69.8,52,90,11.5,US,1615577053
monticello,45.3055,-93.7941,37.99,38,1,5.1,US,1615577637
north las vegas,36.1989,-115.1175,48.99,76,90,8.05,US,1615577575
fairview,40.8126,-73.999,69.8,17,1,3.44,US,1615577046
golden,39.7555,-105.2211,43.0,93,90,5.75,US,1615577282
sandpoint,48.2766,-116.5533,45.0,52,1,1.57,US,1615577077
havelock,34.8791,-76.9013,75.2,50,40,11.5,US,1615577250
bar harbor,44.3876,-68.2039,53.6,28,1,12.66,US,1615577281
two rivers,44.1539,-87.5693,42.01,35,0,4.0,US,1615577638
burkburnett,34.0979,-98.5706,73.99,73,90,10.36,US,1615577639
morro bay,35.3658,-120.8499,57.0,74,23,3.0,US,1615577310
kokomo,40.4864,-86.1336,55.99,26,1,13.8,US,1615577639
brownsville,25.9018,-97.4975,82.4,57,90,19.57,US,1615577134
uniontown,39.9001,-79.7164,60.01,27,99,7.0,US,1615577640
kenai,60.5544,-151.2583,6.8,56,1,4.61,US,1615577269
stillwater,36.1156,-97.0584,69.8,68,90,12.66,US,1615577348
le mars,42.7942,-96.1656,54.0,37,1,9.22,US,1615577641
west wendover,40.7391,-114.0733,44.6,42,1,19.57,US,1615577329
barstow,34.8986,-117.0228,51.8,43,40,7.78,US,1615577333
hayden,47.766,-116.7866,48.99,42,1,3.44,US,1615577642
ketchikan,55.3422,-131.6461,37.4,70,75,8.05,US,1615577238
pahrump,36.2083,-115.9839,45.0,65,100,4.0,US,1615577258
sayville,40.7359,-73.0821,66.2,18,40,12.66,US,1615577643
houma,29.5958,-90.7195,79.0,65,75,10.36,US,1615577154
washougal,45.5826,-122.3534,54.0,57,1,3.44,US,1615577644
meadow lake,34.8014,-106.5436,66.99,5,40,26.46,US,1615577348
kailua,21.4022,-157.7394,77.0,73,75,6.91,US,1615577644
del rio,29.3627,-100.8968,80.6,57,90,16.11,US,1615577451
